Prof_Course, The instructor clearly defined and explained the course objectives and expectations, The instructor was prepared for each instructional activity, The instructor communicated information effectively, The instructor encouraged me to take an active role in my own learning, The instructor was available to students either electronically or in person
Tang-Liping-BE-5364-005 & BE-4364-005-TISSUE ENGINEERING LECTURE,3.7895,4.2632,4.1053,4.4211,3.9474
Tanizaki-Seiichiro-CHEM-1300-001-INTRO CHEMICAL PRINCIPLES,4.4286,4.7143,4.3333,4.2857,4.5714
Tanizaki-Seiichiro-CHEM-1441-001-GENERAL CHEMISTRY I,4.3902,4.6098,4.1951,4.3415,4.475
Tanizaki-Seiichiro-CHEM-1451-001-CHEMISTRY FOR HEALTH SCIENCES,4.5441,4.6912,4.3382,4.3824,4.5882
Tanizaki-Seiichiro-CHEM-1451-500-CHEMISTRY FOR HEALTH SCIENCES,4.24,4.2083,3.92,4,4.12
Tanizaki-Seiichiro-CHEM-1451-501-CHEMISTRY FOR HEALTH SCIENCES,4.0625,4.0667,3.6667,3.8125,3.9375
Tanizaki-Seiichiro-CHEM-1451-502-CHEMISTRY FOR HEALTH SCIENCES,4.4,4.4,4.4,4.4,4.4
Tatz-Elizabeth-LING-2301-002-STUDY OF HUMAN LANGUAGES,4.2941,4.0588,4.2941,4.1176,4.5882
Tavera-Stephanie-ENGL-1302-007-RHETORIC AND COMPOSITION II,4.3077,3.9231,4,4,4.3077
Taylor-Lisa-NURS-3425-502-RN-BSN HOL HLTH ASSESS LIFESPA,4.0364,4.0364,3.963,4.1481,4.0545
Taylor-Martin-ACCT-5301-020-ACCOUNTING ANALYSIS I,4.25,4.5833,3.6667,4.25,4.2083
Taylor-Martin-ACCT-5302-020-ACCOUNTING ANALYSIS II,4.1304,4.5652,4.1304,4.4348,4.4348
Taylor-Martin-ACCT-5302-070-ACCOUNTING ANALYSIS II,3.3333,3.3333,3.3333,3,3.3333
Taylor-Martin-ACCT-5302-072-ACCOUNTING ANALYSIS II,4,4.2,4.2,4.4,4.4
Taylor-Martin-ACCT-5321-001-RESEARCH IN ACCOUNTING ISSUES,3.5417,4.1304,3.6667,4.3913,4.125
Taylor-Martin-HCAD-5305-040-HEALTHCARE FINANCIAL ACCT,3.25,3.5833,2.3333,3.6667,3.5833
Taylor-Pat-LARC-5380-001-Research Methods,3.5,3.5,3.1667,4,3.1667
Taylor-Robert-MAE-2312-002-SOLID MECHANICS,4.2143,3.7857,3.5,4.1429,4.4286
Taylor-Robert-MAE-3344-001-INTRO MANUFACTURING ENGR,4.5882,4.3529,4.4118,4.3529,4.2941
Taylor-Robert-MAE-3344-002/003-INTRO MANUFACTURING ENGR,4.5,4.5714,4.4286,4.5714,4.4286
Teng-James-INSY-5357-001-ENTERPRISE RESOURCE PLANNING,4,4.5,3.8696,4.0909,4.5217
Teng-James-INSY-5357-070-ENTERPRISE RESOURCE PLANNING,4.5385,4.5385,4.6154,4.3846,4.5385
Teng-James-INSY-5375-001-MANAGEMENT OF INFO TECH,4.7857,4.7143,4.7857,4.7857,4.7143
Terrasi-Salvatore-ART-2304-004-DIGITAL DESIGN,4.6,4.8,4.8,4.8,4.6
Terrasi-Salvatore-ART-2304-006-DIGITAL DESIGN,4.75,5,5,5,5
Tesdal-Luke-ENGL-1301-011-RHETORIC AND COMPOSITION I,3.25,3.3333,3,3.1667,3.3333
Tesdal-Luke-ENGL-1301-026-RHETORIC AND COMPOSITION I,4.0556,4.4444,4.0556,3.7778,4.3333
Thacker-Jonathan-CHEM-4461-101-INSTRUMENTAL ANALYSIS & CHEM-5461-101-ANALYTICAL INSTRUMENTATION,3.75,4.25,4,4.5,4.75
Thai-Trang-FINA-3313-004-BUSINESS FINANCE,4.3542,4.2553,4.2083,4.3125,4.5833
Thapa-Pawan-CHEM-2181-009/014-ORGANIC CHEMISTRY I LAB,4.75,4.75,4.5,4.4167,4.3333
Thapa-Pawan-CHEM-2181-015-ORGANIC CHEMISTRY I LAB,4.5385,4.5385,4.4615,4.4615,4.3846
Thaweethawakorn-Anchana-BIOL-2460-006-NURSING MICROBIOLOGY,2,2.5,2.5,2.5,3
Thaweethawakorn-Anchana-BIOL-3444-010-GENERAL MICROBIOLOGY,4.1333,4.4667,4.1333,4.4667,4.6
Theriot-Shirley-EDUC-4647-001-SECONDARY STUDENT TEACHING,4,4,5,5,5
Theriot-Shirley-EDUC-4647-002-SECONDARY STUDENT TEACHING,5,5,5,5,5
Theriot-Shirley-EDUC-5315-004-PRACTICUM,2.5,2.5,2.75,4,3.75
Theriot-Shirley-LIST-4343-001-CONTENT AREA RDG/WRTG,2.0909,2.1364,2.0455,3.0455,2.9545
Thirumuruganathan-Saravan-CSE-5311-002-DSGN & ANLY ALGORITHMS,4.1389,4.25,4.2778,4.2222,4.8286
Thomas-Daniel-MILS-1141-001-FOUND OFFSHIP,4.7778,4.7778,4.7778,4.7778,4.6667
Thomas-Daniel-MILS-1141-002-FOUND OFFSHIP,4.8,4.8,4.8,4.8,4.6
Thomas-Michael-CRCJ-3350-004-INTRO RESEARCH METHODS,4.7692,4.7692,4.8462,4.8462,5
Thomas-Patricia-NURS-5327-006-EXPLOR SCI & THEORIES-NURSING,5,5,4.5,4.5,5
Thomas-Patricia-NURS-5366-006-PRINC OF RESEARCH IN NURSING,5,5,5,5,5
Thomas-Patricia-NURS-5447-001-NEONATAL NURSING III,4.6667,4.6667,4.6667,5,4.5
Thomason-Gregory-ART-3356-002-WEB TYPOGRAPHY,3.75,4,3.5,4,4.6667
Thompson-Annette-ACCT-3309-002-ACCOUNTING FOR MANAGERS,3.5,3.6875,3.375,3.9375,3.6875
Thompson-Annette-ACCT-3309-003-ACCOUNTING FOR MANAGERS,3.6,4.2,3.6,4.8,3.4
Thompson-Claude-LARC-5301-001-SITE PLANING & DVLPMNT PROCESS and HONR-AR-4303-001-ADVANCED SPECIAL TOPICS,3.6667,4.5,3.3333,4,3.8333
Thompson-Claude-LARC-5344-001-PARK & REC DESIGN & PLANNING,5,4.8,4.8,5,5
Thompson-Talaun-SOCW-5306-002-GENERALIST MACRO PRACTICE,4.875,4.875,5,4.875,4.75
Thurburn-Albert-MANA-3325-001-ENTREPRENEUR I,3.3684,3.8421,3.4737,3.4737,3.8421
Thurburn-Albert-MANA-3325-003-ENTREPRENEUR I,3.8333,3.8333,3.8333,3.8,3.3333
Thurman-Stephanee-NURS-5311-400-NURSING MGMT IN HEALTH CARE,4.4762,4.4762,4.4762,4.619,4.4762
Thurman-Stephanee-NURS-5311-401-NURSING MGMT IN HEALTH CARE,4.3784,4.3784,4.4054,4.4167,4.2162
Tice-Kathleen-LIST-4374-001-EC-6 LIT LRNG: LITRATUR & LANG,5,5,5,5,5
Tice-Kathleen-LIST-4376-002-ASSESSMENT IN LITERACY LRNG,4.2857,4.1429,4,4.4286,4.5714
Tice-Kathleen-LIST-5316-001-LITERACY PRACTICUM I,4.2,4.5,4.1,4.5,4.1
Tiernan-Janice-CSE-1325-002-OBJECT-ORIENTED PROGRAMMING,3.4286,3.2857,3.2857,4.0714,3.5
Tigner-Amy-ENGL-4326-001-SHAKESPEARE,3.9474,4.0526,4,4.4211,4.3684
Tigner-Amy-ENGL-5308-001-SHAKESPEARE,4.2727,4.7273,4.5455,5,4.8182
Tijerina-Juan-CRCJ-5327-001-CONST ISSUES IN CJ,4.1818,4.1818,4.1818,4.3636,4.1818
Tindell-Shawn-NURS-3325-502-RN-BSN HOLISTIC CARE OLDER ADU,4.5507,4.5942,4.4783,4.4265,4.4179
Tindell-Shawn-NURS-3325-504-RN-BSN HOLISTIC CARE OLDER ADU,4.4328,4.4328,4.4179,4.5,4.4687
Tindell-Shawn-NURS-3335-501-RN-BSN HEALTH PROMOTION,4.1154,4.1948,4,4.1842,3.961
Titus-Amy-GERM-1442-001-BEGINNING GERMAN II,4.7778,4.6667,4.8889,4.7778,4.7778
Titus-Amy-GERM-1442-002-BEGINNING GERMAN II,4.75,4.6667,5,5,5
Titus-Amy-GERM-2314-001-INTERMEDIATE GERMAN II,5,4.5,5,5,5
Titus-Amy-GERM-3314-001-GERMAN CULTURE & CIV,4.6667,4.7778,4.7778,4.6667,4.875
Tiwari-Kunal-PHYS-1441-007-GENERAL COLLEGE PHYSICS I,4,4,3.8571,3.4286,2.8571
Tiwari-Kunal-PHYS-1441-009-GENERAL COLLEGE PHYSICS I,4,4,4,4,4
Tiwari-Kunal-PHYS-1441-014-GENERAL COLLEGE PHYSICS I,4.2308,4.3077,4.4615,4.3077,4.1538
Tiznobaik-Hani-MAE-3309-002-THERMAL ENGINEERING,4.1429,4.4286,3.7143,3.8571,4
Tjuatja-Saibun-EE-3318-001-DISCRETE SIGNALS AND SYSTEMS,4.2,4.2,4,4.5,3.2
Tobolowsky-Barbara-EDAD-6318-001-ADVANCED QUALITATIVE METHODS,4.7143,5,4.8571,4.7143,4.8571
Tobolowsky-Barbara-EDAD-6392-008-SEL TOP K-16 ED POLICY RES,3,3,3,3,3
Tomlin-Derek-MATH-1426-200-CALCULUS I,4.3846,4.48,3.8462,4.1923,4.4
Tommerdahl-Jodi-EDUC-5361-001-INTRO EDUCATION NEUROSCIENCE,5,4.8889,5,5,5
Tommerdahl-Jodi-EDUC-5394-105-UNDERSTANDING CLASSROOM RSRCH,4.0244,4.2195,3.9024,4.122,4.122
Tommerdahl-Jodi-EDUC-5395-205-DESIGNING CLASSROOM RESEARCH,3.3333,3.3889,2.7647,3.5556,3
Tong-Albert-AE-5313-001/002 & ME-5313-001/002-FLUID DYNAMICS,4.4583,4.5417,4.3333,4.2917,4.375
Tong-Albert-ME-5331-001-ANALYTIC METHODS ENGINEERING,4.2083,4.3333,3.9167,4.0417,4.0833
Torres Ramos-Alison-ENGL-1301-075-RHETORIC AND COMPOSITION I,3.9375,4.125,3.75,4.4,3.8
Townsend-Erin-MAVS-1000-022-First Year Experience,4.7059,4.6471,4.6471,4.6875,4.8235
Trache-Maria-EDAD-6304-001-K-16 QUANT RES DSGN & METHODS,4.1176,4.4118,4,4.2353,4.5882
Traylor-Rachel-MATH-3316-001-STATISTICAL INFERENCE,4.6429,4.7857,4.2143,4.1429,4.6923
Tremayne-Mark-BCMN-2347-001-BROADCAST WRITING/REPORTING,4.4286,4.1429,4.1429,4.2857,4.5714
Tremayne-Mark-BCMN-4320-001-CURRENT ISSUES TELECOMM,4.8,4.8,5,5,4.8
Tremayne-Mark-COMM-5300-001-ADV THEORIES IN COMMUNICATION,3.9,4.2,4,4.4,4.1
Trevino Cantu-Jesus-CIRP-5395-004-SPECIAL TOPICS IN PLANNING,4.4,4.6,3.8,3.8,4.4
Trevino Cantu-Jesus-CIRP-5395-005-SPECIAL TOPICS IN PLANNING,4.5,4.6667,4.3333,4.5,4.6667
Trevino-Margarita-NURS-4465-502-RN-BSN VULNERABLE POPULATIONS,4.1519,4.2785,4.2025,4.2436,4.2436
Trevino-Margarita-NURS-4465-505-RN-BSN VULNERABLE POPULATIONS,4.3448,4.3793,4.2632,4.4035,4.2982
Trog-Gabriela-CHEM-2181-003/004-ORGANIC CHEMISTRY I LAB,4.1333,4.3333,4.2,3.8,4.2
Trog-Gabriela-CHEM-2181-007/008-ORGANIC CHEMISTRY I LAB,4.3636,4.4545,4.5455,4.4545,4.4545
Trowbridge-Cynthia-KINE-4130-001-ATHLETIC TRAINING CLIN PRAC IV,5,5,4.5,5,5
Trowbridge-Cynthia-KINE-4336-001 & KINE-5433-001-THERAPEUTIC INTERVENTION I,4.7333,4.4667,4.4667,4.8667,4.7333
Trowbridge-Cynthia-KINE-5130-001-Clinical Athletic Training II,4.8,4.6,4.8,4.8,4.8
Trowbridge-Cynthia-KINE-5433-002-Therapeutic Interventions I,4.4286,4.5714,4.4286,4.8571,4.7143
Tsai-Chi-Chun-BE-5361-008-BIOMATLS & BLOOD COMPATIBILITY,4.1818,4.3636,4.0455,3.9545,4.2273
Tsay-Jeffrey-ACCT-3303-004-ACCOUNTING INFO SYSTEMS,3.6471,4.25,3.1176,4.2353,3.9412
Tsay-Jeffrey-ACCT-5315-001-ACCOUNTING SYSTEMS ANALYSIS,4.8889,4.8889,4.6667,4.8889,4.875
Turner-Ashanti-GEOL-4305-047/048-SELECTED TOPICS IN GEOLOGY,4.5455,4.3636,4.0909,4.3636,3.9091
Turner-Gregory-EE-1106-001-EE FRESHMAN PRACTICUM,4.75,4.5,4.75,4.5,4.75
Turner-Gregory-EE-1106-003-EE FRESHMAN PRACTICUM,4.3333,4.6667,4.6667,4.6667,4.6667
Turner-Gregory-EE-1106-006-EE FRESHMAN PRACTICUM,4,5,5,5,4
Turner-Gregory-EE-1106-101-EE FRESHMAN PRACTICUM,4.8,4.6,4.8,4.6,4.8
Turner-Gregory-EE-1106-103-EE FRESHMAN PRACTICUM,4.75,4.25,5,5,5
Turner-Gregory-EE-2441-001-DIGITAL LOGIC/MICROPROCESSOR 1,4.7368,4.7895,4.6842,4.7895,4.7368
Turner-Gregory-EE-2441-101-DIGITAL LOGIC/MICROPROCESSOR 1,3.9,4.2,3.6,4.3,4.2
Turner-Gregory-EE-2441-103-DIGITAL LOGIC/MICROPROCESSOR 1,4.8571,4.4286,4.8571,4.7143,4.8333
Turner-Jere-BLAW-3311-003-LAW I,4.8364,4.8,4.6364,4.537,4.5
Turner-Jere-BLAW-3312-003-LAW II,4.3333,4.3333,4.1389,3.9167,3.8056
Tutt-Thomas-ENGL 2319-702 - ENGL 2319-901 BRITISH LITERATURE,4.3333,4.4286,4.3611,4.4167,4.3429
Tutt-Thomas-ENGL 2319.700 & ENGL 2319.900 BRITISH LITERATURE,4.2414,4.3103,4.2143,4.2105,4.1207
Tutt-Thomas-ENGL-2319-011-BRITISH LITERATURE,4,3.6,4,3.8,3.2
Tutt-Thomas-ENGL-2319-012-BRITISH LITERATURE,4.6,4.6,4.8,4.8,4.8
Tutt-Thomas-ENGL-2319-701-BRITISH LITERATURE,4.4231,4.5385,4.4231,4.4231,4.5
Tutt-Thomas-ENGL-2319-703-BRITISH LITERATURE,4.3636,4.3636,4.1591,4.2727,4.0698
Uhlir-Lisa-POLS-4334-001-PRES LEADERSHIP FOREIGN POLICY,3.8,3.8,3.6,3.6,3.6
Ullah-Md-CHEM-1441-103-GENERAL CHEMISTRY I,3.1818,3.2727,2.3636,3.6364,4.0909
Ullah-Md-CHEM-1441-108-GENERAL CHEMISTRY I,4,4.2727,3.7273,4,3.9091
Umutesi-Hope-CHEM-1442-103-GENERAL CHEMISTRY II,4.5,4.8333,4.4167,4.3333,4.5455
Umutesi-Hope-CHEM-1442-107-GENERAL CHEMISTRY II,4.6,4.9,4.7,4.3,4.7
Unite-Richard-MAVS-1000-033-First Year Experience,3.3846,3.4615,3.1538,3.5385,4
Unzicker-Jack-MUSI-2301-001-MUSIC IN FILM,4.625,4.5833,4.5,4.375,4.375
Unzicker-Jack-MUSIC PRIVATE LESSONS,5,5,4.7778,5,5
Urban-Regina-NURS-3366-001-PATHOPHYSIOLOGIC PROCESSES,4.8649,4.9189,5,4.973,5
Urban-Regina-NURS-3366-072-PATHOPHYSIOLOGIC PROCESSES,4.7143,4.5714,4.6429,4.3571,4.5
Urban-Regina-NURS-4325-201-RN-BSN NURSING RESEARCH,4.4286,4.8571,4.4286,4.4286,4.2857
Urban-Regina-NURS-UL-3366-600-PATHOPHYSIOLOGIC PROCESSES,4.25,4.25,4.1071,4.1429,4.0714
Valdez-Anthony-MAVS-1000-017-First Year Experience,3.9167,4.25,4.25,3.8333,3.75
Van Lear-Brian-AE-5325-001 & ME-5325-001-COMBUSTION and MAE-4301-008-SPEC TOPICS MECH & AERO ENGR,3.9231,3.6923,3.4615,3.7692,4.3846
Van Noort-Kimberly-MAVS-1000-023-First Year Experience,4,3.875,4.125,4.125,4.125
Vancliff-Michaela-MATH-5392-001-SELECTED TOPICS IN MATH,4.6,5,5,4.8,5
Varner-Michael-MUSI-0114-001-PERCUSSION ENSEMBLE,4.8571,4.8571,4.4286,4.7143,4.7143
Varner-Michael-MUSI-0114-002-PERCUSSION ENSEMBLE,5,5,5,5,5
Varner-Michael-MUSIC PRIVATE LESSONS,4.5,4.625,4.25,4.625,4.75
Vasilyev-Michael-EE-4328-002-CURRENT TOPICS ELECTRICAL ENGR & EE-5380-001--PRINC PHOTONICS & OPTIC ENGR,4,4.1613,4.069,3.9677,4.1935
Vasilyev-Michael-EE-5385-001-NONLINEAR OPTICS,4.2727,4.4545,4.2727,4.0909,4.1818
Vasquez-Arthur-CRCJ-3300-001-THEORETICAL CR,4.72,4.76,4.76,4.72,4.64
Vasquez-Arthur-CRCJ-3338-001-JUV JUST SYST,4.2381,4.1905,4.25,4.1429,4.5238
Vasquez-Arthur-CRCJ-5350-002-THEORY,4.3333,4.3333,4.5,4.3333,4.3333
Veerabathina-Nilakshi-ASTR-1345-001-INTRODUCTORY ASTRONOMY I,4.5763,4.6271,4.5345,4.4746,4.5593
Veerabathina-Nilakshi-ASTR-1345-002-INTRODUCTORY ASTRONOMY I,4.5281,4.5843,4.4382,4.5169,4.5393
Veerabathina-Nilakshi-ASTR-1345-005-INTRODUCTORY ASTRONOMY I,4,3.875,4.1111,4.3333,4.3333
Veerabathina-Nilakshi-ASTR-1346-001-INTRODUCTORY ASTRONOMY II,4.4286,4.5714,4.2857,4.2647,4.4
Veerabathina-Nilakshi-SCIE-3304-600-ASTRONOMY,4,4.4286,3.7143,3.8571,4.2857
Veit-Dennis-MANA-3318-010-MANA ORG BEHAV,4.6552,4.5862,4.5862,4.6552,4.4483
Veit-Dennis-MANA-4325-001-LEADERSHIP IN ORGANIZATIONS,4.6857,4.6571,4.6571,4.6286,4.5714
Veit-Dennis-MANA-4328-001-HR STAFFING & PERFORMANCE MGMT,4.2414,4.3448,4.3793,4.3448,4.3793
Veit-Dennis-MANA-4393-001-MANAGEMENT INTERNSHIP,5,5,5,5,5
Venkataraman-Ramgopal-ACCT-5301-001-ACCOUNTING ANALYSIS I,4.3158,4.3684,4.3158,4.5263,4.3889
Venkataraman-Ramgopal-ACCT-5301-002-ACCOUNTING ANALYSIS I,4.6667,4.5,4.5,4.5,4.1667
Venkataraman-Ramgopal-ACCT-5307-001-M&A FOR BUSINESS DECISIONS,3.7917,4.25,3.7917,4.0417,4.1667
Ventura-Wilber-MATH-1322-001-PRECALCULUS I,4.08,4.32,4.08,3.96,4.28
Ventura-Wilber-MATH-1322-006-PRECALCULUS I,3.75,4.5,4,4.5,4.25
Venugopalan-Raghu-ACCT-3311-002-FINANCIAL ACCOUNTING I,4.4483,4.5517,4.6071,4.4828,4.6429
Venugopalan-Raghu-ACCT-3311-004-FINANCIAL ACCOUNTING I,4.2941,4.4118,4.3529,4.375,4.3529
Venzor-Erika-PSYC-4412-002-ADV TOP IN SOCIAL PSYCHOLOGY,4.7333,4.7857,4.6,4.7333,4.6
Vergine-Fabrizio-MAE-2315-001-FLUID DYNAMICS,3.8182,4.1818,4.2727,4,4.4545
Villegas-Rafael-GEOL-1301-019-EARTH SYSTEMS,4.1111,4.1111,4,4.1111,4
Villegas-Rafael-GEOL-1301-022-EARTH SYSTEMS,4.5,4.5,4.5,4.5,4.5
Visser-Sarah-ENGL-0100-001-INTEGRATED READING/WRITING,4.6,4.4,4.2,4,4.4
Visser-Sarah-ENGL-0100-002-INTEGRATED READING/WRITING,5,4.5,5,4.5,5
Visser-Sarah-ENGL-2338-009-TECHNICAL WRITING,4.5294,4.7647,4.2353,4.0588,4.4706
Visser-Sarah-ENGL-2338-016-TECHNICAL WRITING,3.8421,4.3684,3.8947,3.9474,4.1053
Wagener-Natalie-SPAN-1441-024-BEGINNING SPANISH I,3.8,3.8,4,4,4
Wagener-Natalie-SPAN-1442-001-BEGINNING SPANISH II,3.3333,3.3333,3.3333,3.3333,5
Wagener-Natalie-SPAN-2313-009-INTERMEDIATE SPANISH I,4,4.4286,4.5714,4.1429,4.4286
Wagener-Natalie-SPAN-2314-001-INTERMEDIATE SPANISH II,4.5714,4.2857,4.1429,4.2857,4.4286
Walcott-Kimberly-SOCW-6361-005-STRESS CRISIS AND COPING,2.8,2.5,2.9,3.4,3.1
Walker-Gillian-SPAN-1442-016-BEGINNING SPANISH II,4.3333,4.3333,4.3333,4.3333,3.3333
Walker-Gillian-SPAN-1442-017/019-BEGINNING SPANISH II,3.75,3.75,3.75,3.5,3.75
Walker-Gillian-SPAN-3303-003-ADVANCED SPANISH CONVERSATION,4.2857,4.4286,4.2857,4.4286,4.2857
Walker-Roger-CSE-3442-001 & CSE-5442-001-EMBEDDED COMPUTER SYSTEMS,4.625,4.75,4,4.25,4.625
Walker-Roger-CSE-3442-002-EMBEDDED SYSTEMS I,4,2.5,3,4,5
Walker-Roger-CSE-3442-003-EMBEDDED SYSTEMS I,5,4.5,4.5,5,4.5
Walker-Samuel-MUSI-0116-002-JAZZ ENSEMBLE,4.4,4.8,4,3.8,4.4
Walker-Samuel-MUSIC PRIVATE LESSONS,5,5,5,5,5
Wallace-Cara-SOCW-2311-007-INTRO SOC WORK,4.8889,4.8889,4.8889,4.8889,4.8889
Wallman-Jeffrey-MARK-3321-005-PRINCIPLES OF MARKETING,4.6275,4.6863,4.6863,4.6,4.74
Wallman-Jeffrey-MARK-4303-001-RETAIL AND SERVICE MARKETING,4.8462,4.9231,4.8462,4.9231,4.9167
Wallman-Jeffrey-MARK-5311-002-MARKETING,4.4444,4.4444,4.4444,4.4444,4.2222
Walsh-Matthew-BIOL-4388-002-INSTR TECHNIQUES IN BIOLOGY,5,4.5,5,4.5,4.5
Walsh-Melissa-BIOL-1333-004-INTRO TO BIOLOGY I,4.75,4.75,4.625,4.625,4.75
Walsh-Melissa-BIOL-1441-012-CELL MOL BIOL,4.3,4.7,4.6,4.3,4.7
Walts-Charles-EXSA-1249-001-SCUBA DIVING,5,5,5,5,5
Walts-Charles-EXSA-1249-002-SCUBA DIVING,4.6,4.6,4.6,4.6,4.6
Walts-Charles-EXSA-1249-003-SCUBA DIVING,5,5,5,5,5
Walts-Charles-EXSA-1249-006-SCUBA DIVING,4.2857,4.8571,4.8571,4.8571,4.8571
Walts-Charles-EXSA-1249-007- SCUBA DIVING & EXSA-1259-002-ADVANCED SCUBA,4.875,4.875,5,5,4.875
Walts-Charles-EXSA-1259-001-ADVANCED SCUBA,5,5,5,5,5
Walvoord-Martha-MUSIC PRIVATE LESSONS,4.7857,4.7143,4.7857,4.8571,4.7143
Wanaguru-Prabath-PHYS-1301-002-PHYSICS FOR NON SPECIALISTS I,3.5,4.25,2.875,4.375,3.75
Wang-Bo-AE-5301-003-ADV TOPICS AEROSPACE ENGR & ME-5390-003-SPEC TOPICS MECH ENGR,3.875,4.125,4.2857,4.5,4.5
Wang-Bo-ME-5310-001/002/003 & AE-5310-001/002-FINITE ELEMENT METHODS,3.9524,4.0476,3.6667,3.8095,3.9524
Wang-David-EE-6364-001/002-ADVANCED DATA NETWORKS,3.6765,3.9412,3.6667,3.7059,3.8235
Wang-Jingguo-BSTAT-3321-006-BUSINESS STATISTICS I,3.6364,3.7273,2.5455,3.0909,3.4545
Wang-Jingguo-INSY-3303-001-COMP NTWKS & DIST COMPUTING,4.4167,4.75,4.25,4.0833,3.8333
Wang-Shouyi-IE-2308-001-ECONOMICS FOR ENGINEERS,3.8947,3.8947,3.5263,3.7368,4.1053
Wang-Shu-Shaw-EE-5368-001/002-WIRELESS COMMUNICATION SYSTEMS,3.775,4,3.7179,3.925,3.975
Wang-Yadi-CHEM-1441-105-GENERAL CHEMISTRY I,3.7143,4.2857,3.7143,4,4.8571
Wang-Yadi-CHEM-1441-122-GENERAL CHEMISTRY I,4.4286,4.7143,4.1429,4.2857,4.5714
Wang-Yi-Ping-CHIN-1441-001-BEGINNING CHINESE I,3.8,3.8,4.2,4.2,4.2
Wang-Yi-Ping-CHIN-1441-002-BEGINNING CHINESE I,4.3333,4.5,4.3333,4.5,4.3333
Wang-Yi-Ping-CHIN-1441-003-BEGINNING CHINESE I,4,4.3333,4,4,4.3333
Wang-Zhaopeng-ASTR-1345-013-INTRODUCTORY ASTRONOMY I,4.4167,4.4167,4.4167,4.3333,4.0833
Wang-Zhaopeng-ASTR-1345-017-INTRODUCTORY ASTRONOMY I,3.6667,4,3.3333,4,3.3333
Wang-Zhaopeng-ASTR-1345-019-INTRODUCTORY ASTRONOMY I,3.6,4.2,3.4,4,3.8
Wanigasekara-Maheshika-CHEM-2285-002-QUANTITATIVE CHEMISTRY LAB,5,5,5,5,5
Ward-Jo-ENGL-0300-003-INTRO TO READING & WRITING,4.25,4.5,4.25,4.25,4.25
Ward-Jo-ENGL-0300-004-INTRO TO READING & WRITING,4.25,4.25,4.25,4.25,4.25
Ward-Jo-ENGL-0300-007-INTRO TO READING & WRITING,4.1667,4.1667,4.1667,4.1667,4.1667
Ward-Michael-ECON-5313-001-MANAGERIAL ECONOMICS,4.2105,4,3.6316,4,4.0526
Ward-Michael-ECON-5313-020-MANAGERIAL ECONOMICS,4,4.125,3.8,3.875,3.8125
Ward-Susan-NURS-5309-400-TEACHING/LEARNING STRATEGIES,4.4091,4.3182,4.25,4.4186,4.2558
Warren-James-ENGL-4370-001-RHETORIC-COMPOSITION/TEACHERS,5,5,5,5,5
Warren-James-ENGL-5359-001-ARGUMENTATION THEORY,4.75,4.9167,4.8333,4.75,4.75
Warren-James-ENGL-5389-001-TOPICS IN TEACHING COMPOSITION,4.75,4.75,4.5,4.625,4.75
Warren-Jay-JOUR-2346-003-REPORTING,4.6667,5,5,4.6667,5
Warren-Kathryn-ENGL-2350-001-INTRO TO ANALYSIS & INTERP,4.6,4.6667,4.6,4.7333,4.7333
Warren-Kathryn-ENGL-2350-002-INTRO TO ANALYSIS & INTERP,4.7692,4.9231,4.5385,4.5385,4.7692
Warren-Kathryn-ENGL-3340-002-HISTORY OF AMERICAN LITERATURE,4.7857,4.7857,4.8571,4.9286,5
Warren-Kathryn-ENGL-4387-600-CONTEMPORARY LITERATURE,5,5,5,5,4.75
Washington-Sara-NURS-3632-600-CLINICAL NURSING FOUNDATIONS,4.5208,4.4468,4.375,4.4375,4.5319
Wasserman-Lewis-EDAD-5352-001-HIGHER EDUCATION LAW,4.625,4.625,4.5,4.5,4.625
Wasserman-Lewis-EDAD-6327-001-K-16 POLICY LAW RESEARCH,4.4286,4.3333,4.4286,4.2857,4.5714
Watry-David-HIST-1311-011-U.S. HISTORY TO 1865,4.3617,4.5,4.234,4.0638,4.0638
Watry-David-HIST-1312-004-U.S. HISTORY SINCE 1865,4.0526,4.1579,4.2105,4.1579,4.0526
Watry-David-HIST-1312-012-U.S. HISTORY SINCE 1865,4.4103,4.4615,4.2564,4.0513,4.0513
Watson-Larry-SOCW-6305-002/003-INTEGRATIVE SEMINAR,4.0769,4.3846,4,4.4615,4.5385
Watson-Larry-SOCW-6305-013-INTEGRATIVE SEMINAR,4.3333,4.4444,4,4.5556,4.3333
Watson-Larry-SOCW-6314-001/002-ADV ADMINISTRATIVE PRACTICE,4.1429,4.2857,4.2857,4.5714,4
Watson-Sonja-MAS-4313-001 & SPAN-4313-001-HISPANIC CULTURE,4.1333,4.1333,4.3333,4.3333,4.3333
Waweru-Regina Nyambura-CE-2311-003-STATICS,4.3158,4.4737,4.2105,4.3684,4.6316
Waweru-Regina Nyambura-CE-2311-004-STATICS,4.3684,4.3684,4.2632,4.3889,4.5789
Weast-Traci-LING-4395-001-INTERNSHIP,3.5,3.5,4,4,4.5
Webb-Sydney-ART-4345-001-ADVANCED PRINTMAKING,4.5,4.5,4.5,4.5,4.5
Webber-Paul-FINA-5327-001-FINANCIAL DERIVATIVES & FINA-6390-001-SEMINAR SPEC TOPICS IN FINANCE,4.8,5,5,4.8,4.8
Weems-Bob-CSE-2320-002-ALGORITHMS & DATA STRUCTURES,3.5,4,3,3.3571,3.7857
